model_id,model_name,model_type,group,item_id,text,audio_path,audio_duration_sec,sample_rate,reference_used,generation_status,latency_sec,has_error,error_notes,stress_notes
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_01,"Клепиковский район, г. Спас-Клепики, ул. Московская, д. 23.",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_01.wav,4.737,48000.0,no,generated,0.064,no,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_02,"В соответствии со ст. 7 ФЗ № 115-ФЗ от 07.08.2001 ""О противодействии легализации (отмыванию) доходов».",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_02.wav,5.237,48000.0,no,generated,0.128,yes,не со с т а сэст,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_03,"Кроме того, по слухам, М. Ходорковский обещал выделить 10 млн. долл. на выборные нужды союза СПС и ""Яблока"".",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_03.wav,7.588,48000.0,no,generated,0.08533,no,проглатывает буквы,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_04,"Вот он описывает Йер: ""Городок, окружённый, т. е. с трех сторон (четвёртая - море) тремя цепями гор.""",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_04.wav,6.775,48000.0,no,generated,0.064,yes,не то есть а тэ,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_05,"К нелепым, но шумным показательным процессам и т. д. и т. п.",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_05.wav,4.737,48000.0,no,generated,0.07467,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_06,"Он то утверждает, что у них там всё хорошо, а через неделю говорит, что всё совсем плохо (см. таблицу на стр. 23).",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_06.wav,6.862,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_07,В 2000-м и. о. президента Путин назначает Беспалова и. о. представителя президента в Санкт-Петербурге.,results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_07.wav,7.45,48000.0,no,generated,0.192,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_08,В 1994-1995 гг. начался массированный накат на мэра Петербурга Анатолия Собчака.,results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_08.wav,4.562,48000.0,no,generated,0.05333,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_09,Он был первым в спринтерской гонке на 10 км в немецком местечке Оберхоф.,results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_09.wav,3.712,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_graphic,abbr_graphic_10,"Открывали фестиваль три спектакля, поставленные Андреем Гончаровым в Театре им. Маяковского.",results/audio/silero_tts_v5_ru_abbr_graphic_abbr_graphic_10.wav,5.675,48000.0,no,generated,0.04267,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_01,"Ожидается, что к 2012 г. сумма денежных переводов в указанный регион превысит 70 млрд. долларов США.",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_01.wav,6.263,48000.0,no,generated,0.05333,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_02,Он выступил перед студентами и преподавателями МГИМО с лекцией о состоянии и перспективах развития отношений между Россией и США в области энергетики.,results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_02.wav,8.312,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_03,Ротационная БД в ЛВС типа «звезда».,results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_03.wav,2.025,48000.0,no,generated,0.04267,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_04,"С 1971 по 1977 гг. работал инженером НПО ""Вектор"".",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_04.wav,2.638,48000.0,no,generated,0.16,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_05,"В качестве полузаказных СБИС на основе БМК возьмём серию К 1574, производимую на НПО ""Интеграл"".",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_05.wav,4.825,48000.0,no,generated,0.13867,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_06,Так что не надо замазывать влияние КПРФ.,results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_06.wav,2.312,48000.0,no,generated,0.0533333333333333,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_07,"Такую сверхзадачу поставили перед собой в прямом радиоэфире ""Эха Москвы"" один из собственников ЮКОСа Василий Шахновский и ""политкорректно"" пособлявшие ему на разные лады, обозреватели А. Венедиктов и М. Ганопольский.",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_07.wav,12.713,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_08,"В мае 1933 года министр МВД, правая рука Ф. Рузвельта, неукротимый Гарольд Икес доложил президенту о ""сплошной деморализации"" нефтяной промышленности.",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_08.wav,8.825,48000.0,no,generated,0.128,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_09,"Действительно, согласно ч. 2 ст. 89 ЖК РСФСР в случае выезда нанимателя и членов его семьи на другое постоянное место жительства договор найма считается расторгнутым со дня выезда.",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_09.wav,9.938,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,abbr_lexical,abbr_lexical_10,"Так, например, при аренде BMW 5-й серии на счёте замораживается около $ 5 тыс.",results/audio/silero_tts_v5_ru_abbr_lexical_abbr_lexical_10.wav,4.0,48000.0,no,generated,0.0533333333333333,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_01,"Дата рождения - 08.04.1980 г. (23 года), женат. Тел. 232-23-23.",results/audio/silero_tts_v5_ru_numbers_numbers_01.wav,4.175,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_02,"Из оставшихся 26521000 человек 13450000 составляют депутаты и госслужащие, 5 млн. - военные, 3977368 - нелегальные эмигранты.",results/audio/silero_tts_v5_ru_numbers_numbers_02.wav,6.213,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_03,"В результате к 5 млн. 800 тысячам рублей, запланированным на 2002 год из федерального бюджета на строительство хирургического корпуса Йошкар-Олинской горбольницы, к концу года Москва выделила ещё 6 млн. рублей.",results/audio/silero_tts_v5_ru_numbers_numbers_03.wav,11.537,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_04,В минувшем году отметил своё 30-летие московский Музей В. А. Тропинина и художников его времени.,results/audio/silero_tts_v5_ru_numbers_numbers_04.wav,6.562,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_05,"Глядя на сегодняшнюю Ирландию, трудно себе представить, что в середине XIX в. после разразившегося голода отчаявшиеся люди пересекали океаны и, терпя лишения и страдания, добирались до берегов Америки и Австралии, а ещё 10 лет назад не во всех деревнях было электричество.",results/audio/silero_tts_v5_ru_numbers_numbers_05.wav,15.637,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_06,"Лампа коптила много столетий, потому что ламповое стекло изобрели лишь во второй половине XVIII в.",results/audio/silero_tts_v5_ru_numbers_numbers_06.wav,5.025,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_07,"Взять 1/2 стакана дрожжей, 1/4 стакана воды, 1/2 фунта сахара, 1/3 фунта т. е. 1 стакан изюма, 1/2 золотника шафрана, намоченного в 1/4 стакана холодной воды или рома, 60 желтков, 2 1/2 стакана растопленного масла, муки 1 гарнец без 2 стаканов.",results/audio/silero_tts_v5_ru_numbers_numbers_07.wav,13.825,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_08,"Это лишний раз подтвердил 12-й по счёту и первый в статусе республиканского фестиваль горномарийской песни, прошедший при аншлаге во Дворце культуры имени Я. Эшпая.",results/audio/silero_tts_v5_ru_numbers_numbers_08.wav,9.425,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_09,Эта этноязыковая общность существовала в Центральной Европе во II тысячелетии до н. э. и названа Г. Краэ древнеевропейской.,results/audio/silero_tts_v5_ru_numbers_numbers_09.wav,7.638,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,numbers,numbers_10,"На требование остановиться 4,3-тонный автомобиль разогнался почти до паспортных 90 км/ч, за что и был расстрелян из табельных милицейских автоматов и пистолетов на Нагатинской набережной.",results/audio/silero_tts_v5_ru_numbers_numbers_10.wav,9.488,48000.0,no,generated,0.064,yes,,
silero_tts_v5_ru,Silero TTS V5,silero_v5,stress,stress_01,"Дом, в котором я живу, расположен на окраине маленького городка, у самой подошвы горы. Здесь мягкий климат и редко идут дожди. Ночью небосвод бывает так густо усеян звездами, что кажется, будто все миллиарды их из нашей галактики разбросаны вверху над моей головой. Летним утром, как только я открываю окно, моя большая комната наполняется запахом цветов. Ветки черешен смотрят мне в окна, и легкий теплый ветер усыпает мой письменный стол белыми лепестками.

Вдруг позади себя я слышу: „Сережа, неужели это ты? Вот так встреча!“. Я узнаю этот низкий голос. Оборачиваюсь - так и есть: Андрей Сафонов! Очень радостно видеть его вновь. С Андреем мы знакомы с конца восьмидесятых - служили вместе в армии. Его, энергичного и общительного, всегда на помощь готового прийти, любили все. Меня покорили его честность и недюжинная сила.

Мы были дружны, но потом, мало-помалу, связь наша оборвалась.
— Здравствуй, Андрюша! Как ты тут оказался?
— Командировка в архив: предлагают снять сюжет про судоверфь. Вчера приехали - сегодня уезжаем. Вернее, улетаем - к четырем в аэропорт.",results/audio/silero_tts_v5_ru_stress_stress_01.wav,69.955,48000.0,no,generated,0.1173333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_01,"Клепиковский район, г. Спас-Клепики, ул. Московская, д. 23.",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_01.wav,5.725,48000.0,no,generated,0.096,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_02,"В соответствии со ст. 7 ФЗ № 115-ФЗ от 07.08.2001 ""О противодействии легализации (отмыванию) доходов».",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_02.wav,5.438,48000.0,no,generated,0.1173333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_03,"Кроме того, по слухам, М. Ходорковский обещал выделить 10 млн. долл. на выборные нужды союза СПС и ""Яблока"".",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_03.wav,8.475,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_04,"Вот он описывает Йер: ""Городок, окружённый, т. е. с трех сторон (четвёртая - море) тремя цепями гор.""",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_04.wav,7.425,48000.0,no,generated,0.1066666666666666,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_05,"К нелепым, но шумным показательным процессам и т. д. и т. п.",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_05.wav,4.787,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_06,"Он то утверждает, что у них там всё хорошо, а через неделю говорит, что всё совсем плохо (см. таблицу на стр. 23).",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_06.wav,7.537,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_07,В 2000-м и. о. президента Путин назначает Беспалова и. о. представителя президента в Санкт-Петербурге.,results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_07.wav,7.312,48000.0,no,generated,0.096,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_08,В 1994-1995 гг. начался массированный накат на мэра Петербурга Анатолия Собчака.,results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_08.wav,5.05,48000.0,no,generated,0.1066666666666666,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_09,Он был первым в спринтерской гонке на 10 км в немецком местечке Оберхоф.,results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_09.wav,4.463,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_graphic,abbr_graphic_10,"Открывали фестиваль три спектакля, поставленные Андреем Гончаровым в Театре им. Маяковского.",results/audio/silero_tts_v4_ru_abbr_graphic_abbr_graphic_10.wav,6.625,48000.0,no,generated,0.064,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_01,"Ожидается, что к 2012 г. сумма денежных переводов в указанный регион превысит 70 млрд. долларов США.",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_01.wav,7.175,48000.0,no,generated,0.064,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_02,Он выступил перед студентами и преподавателями МГИМО с лекцией о состоянии и перспективах развития отношений между Россией и США в области энергетики.,results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_02.wav,9.725,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_03,Ротационная БД в ЛВС типа «звезда».,results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_03.wav,2.438,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_04,"С 1971 по 1977 гг. работал инженером НПО ""Вектор"".",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_04.wav,2.8,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_05,"В качестве полузаказных СБИС на основе БМК возьмём серию К 1574, производимую на НПО ""Интеграл"".",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_05.wav,5.8,48000.0,no,generated,0.1706666666666666,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_06,Так что не надо замазывать влияние КПРФ.,results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_06.wav,2.688,48000.0,no,generated,0.064,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_07,"Такую сверхзадачу поставили перед собой в прямом радиоэфире ""Эха Москвы"" один из собственников ЮКОСа Василий Шахновский и ""политкорректно"" пособлявшие ему на разные лады, обозреватели А. Венедиктов и М. Ганопольский.",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_07.wav,14.7,48000.0,no,generated,0.064,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_08,"В мае 1933 года министр МВД, правая рука Ф. Рузвельта, неукротимый Гарольд Икес доложил президенту о ""сплошной деморализации"" нефтяной промышленности.",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_08.wav,10.162,48000.0,no,generated,0.1173333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_09,"Действительно, согласно ч. 2 ст. 89 ЖК РСФСР в случае выезда нанимателя и членов его семьи на другое постоянное место жительства договор найма считается расторгнутым со дня выезда.",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_09.wav,11.925,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,abbr_lexical,abbr_lexical_10,"Так, например, при аренде BMW 5-й серии на счёте замораживается около $ 5 тыс.",results/audio/silero_tts_v4_ru_abbr_lexical_abbr_lexical_10.wav,4.513,48000.0,no,generated,0.0533333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,numbers,numbers_01,"Дата рождения - 08.04.1980 г. (23 года), женат. Тел. 232-23-23.",results/audio/silero_tts_v4_ru_numbers_numbers_01.wav,3.6,48000.0,no,generated,0.096,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,numbers,numbers_02,"Из оставшихся 26521000 человек 13450000 составляют депутаты и госслужащие, 5 млн. - военные, 3977368 - нелегальные эмигранты.",results/audio/silero_tts_v4_ru_numbers_numbers_02.wav,6.4,48000.0,no,generated,0.0746666666666666,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,numbers,numbers_03,"В результате к 5 млн. 800 тысячам рублей, запланированным на 2002 год из федерального бюджета на строительство хирургического корпуса Йошкар-Олинской горбольницы, к концу года Москва выделила ещё 6 млн. рублей.",results/audio/silero_tts_v4_ru_numbers_numbers_03.wav,13.45,48000.0,no,generated,0.0853333333333333,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,numbers,numbers_04,В минувшем году отметил своё 30-летие московский Музей В. А. Тропинина и художников его времени.,results/audio/silero_tts_v4_ru_numbers_numbers_04.wav,6.775,48000.0,no,generated,0.128,yes,,
silero_tts_v4_ru,Silero TTS V4,silero_v4,numbers,numbers_05,"Глядя на сегодняшнюю Ирландию, трудно себе представить, что в середине XIX в. после разразившегося голода отчаявшиеся люди пересекали океаны и, терпя лишения и страдания, добирались до берегов Америки и Австралии, а ещё 10 лет назад не во всех деревнях было электричество.",results/audio/silero_tts_v4_ru_numbers_numbers_05.wav,18.325,48000.0,no,generated,0.1173333333333333,yes,,
